	gene_short_name
GALNT2	GALNT2
GALNT3	GALNT3
GALNT4	GALNT4
GALNT6	GALNT6
GALNT7	GALNT7
GALNT8	GALNT8
GALNT9	GALNT9
GALNTL5	GALNTL5
GALNTL6	GALNTL6
GALR2	GALR2
GAMT	GAMT
GANAB	GANAB
GANC	GANC
GAP43	GAP43
GAS1	GAS1
GAS6	GAS6
GAS8	GAS8
GATA2	GATA2
GATA3	GATA3
GATA4	GATA4
GATA6	GATA6
GATM	GATM
GBE1	GBE1
GBX2	GBX2
GC	GC
GCAT	GCAT
GCDH	GCDH
GCG	GCG
GCGR	GCGR
GCK	GCK
GCLC	GCLC
GCLM	GCLM
GCNT1	GCNT1
GCNT3	GCNT3
GCNT4	GCNT4
GDF10	GDF10
GDF11	GDF11
GDF3	GDF3
GDF6	GDF6
GDNF	GDNF
GDPD4	GDPD4
GEM	GEM
GFAP	GFAP
GFPT1	GFPT1
GHR	GHR
GINS2	GINS2
GIP	GIP
GIPR	GIPR
GJA1	GJA1
GJA5	GJA5
GJB1	GJB1
GJB2	GJB2
GK	GK
GLB1	GLB1
GLDC	GLDC
GLI1	GLI1
GLI2	GLI2
GLI3	GLI3
GLS	GLS
GLUD1	GLUD1
GML	GML
GNAQ	GNAQ
GNAS	GNAS
GNG2	GNG2
GNL3	GNL3
GNMT	GNMT
GNPTAB	GNPTAB
GNPTG	GNPTG
GNRH1	GNRH1
GOT1	GOT1
GOT2	GOT2
GPAM	GPAM
GPAT2	GPAT2
GPC3	GPC3
GPC5	GPC5
GPD1	GPD1
GPD2	GPD2
GPI	GPI
GPNMB	GPNMB
GPR111	GPR111
GPR3	GPR3
GPR4	GPR4
GPSM2	GPSM2
GPT	GPT
GPX1	GPX1
GPX2	GPX2
GPX3	GPX3
GPX4	GPX4
GPX5	GPX5
GPX6	GPX6
GPX7	GPX7
GRB10	GRB10
GRB2	GRB2
GREM1	GREM1
GRIA3	GRIA3
GRID2	GRID2
GRIP1	GRIP1
GRM1	GRM1
GRM2	GRM2
GRM4	GRM4
GRM5	GRM5
GRM7	GRM7
GRPEL1	GRPEL1
GRPR	GRPR
GSC	GSC
GSK3A	GSK3A
GSK3B	GSK3B
GSR	GSR
GSS	GSS
GSTA3	GSTA3
GSTP1	GSTP1
GSTZ1	GSTZ1
GTF2I	GTF2I
GTSE1	GTSE1
GTSF1	GTSF1
GUCY1A3	GUCY1A3
GULP1	GULP1
GYS1	GYS1
GYS2	GYS2
H19	H19
H6PD	H6PD
HAAO	HAAO
HADH	HADH
HADHA	HADHA
HADHB	HADHB
HAND1	HAND1
HAND2	HAND2
HAS1	HAS1
HAT1	HAT1
HBEGF	HBEGF
HCFC2	HCFC2
HCK	HCK
HCN1	HCN1
HDAC1	HDAC1
HDAC10	HDAC10
HDAC11	HDAC11
HDAC2	HDAC2
HDAC3	HDAC3
HDAC4	HDAC4
HDAC5	HDAC5
HDAC6	HDAC6
HDAC7	HDAC7
HDAC8	HDAC8
HDAC9	HDAC9
HDC	HDC
HDGFL1	HDGFL1
HEBP1	HEBP1
HECW1	HECW1
HECW2	HECW2
HEG1	HEG1
HERC3	HERC3
HERC5	HERC5
HERPUD1	HERPUD1
HES1	HES1
HES4	HES4
HES5	HES5
HES7	HES7
HESX1	HESX1
HEXA	HEXA
HEXB	HEXB
HEY1	HEY1
HEY2	HEY2
HEYL	HEYL
HGD	HGD
HGF	HGF
HHAT	HHAT
HHEX	HHEX
HHIP	HHIP
HHLA1	HHLA1
HIBADH	HIBADH
HIBCH	HIBCH
HIC1	HIC1
HIF1A	HIF1A
HIF1AN	HIF1AN
HIF3A	HIF3A
HINFP	HINFP
HIPK2	HIPK2
HIST1H1A	HIST1H1A
HIST1H2AA	HIST1H2AA
HIST1H2BJ	HIST1H2BJ
HIST1H3C	HIST1H3C
HK2	HK2
HK3	HK3
HLA-A	HLA-A
HLA-C	HLA-C
HLA-DPB1	HLA-DPB1
HLA-DQB1	HLA-DQB1
HLA-DQB2	HLA-DQB2
HLA-E	HLA-E
HLF	HLF
HLTF	HLTF
HLX	HLX
HMCN1	HMCN1
HMGB1	HMGB1
HMGCL	HMGCL
HMGCR	HMGCR
HMGCS1	HMGCS1
HMGCS2	HMGCS2
HMGN2	HMGN2
HMGN3	HMGN3
HMOX1	HMOX1
HNF1B	HNF1B
HNF4A	HNF4A
HNMT	HNMT
HNRNPA1	HNRNPA1
HNRNPA2B1	HNRNPA2B1
HOPX	HOPX
HORMAD1	HORMAD1
HOXA1	HOXA1
HOXA10	HOXA10
HOXA11	HOXA11
HOXA2	HOXA2
HOXA3	HOXA3
HOXA5	HOXA5
HOXA7	HOXA7
HOXA9	HOXA9
HOXB2	HOXB2
HOXB3	HOXB3
HOXB4	HOXB4
HOXB5	HOXB5
HOXB7	HOXB7
HOXB8	HOXB8
HOXB9	HOXB9
HOXC10	HOXC10
HOXC11	HOXC11
HOXC12	HOXC12
HOXC13	HOXC13
HOXC4	HOXC4
HOXC5	HOXC5
HOXC6	HOXC6
HOXC8	HOXC8
HOXC9	HOXC9
HOXD1	HOXD1
HOXD10	HOXD10
HOXD11	HOXD11
HOXD13	HOXD13
HOXD3	HOXD3
HOXD4	HOXD4
HOXD8	HOXD8
HOXD9	HOXD9
HP	HP
HPD	HPD
HPGD	HPGD
HPSE	HPSE
HR	HR
HRAS	HRAS
HRASLS5	HRASLS5
HRK	HRK
HS3ST1	HS3ST1
HS3ST3B1	HS3ST3B1
HS6ST1	HS6ST1
HS6ST2	HS6ST2
HSCB	HSCB
HSD17B10	HSD17B10
HSD17B2	HSD17B2
HSF1	HSF1
HSF2	HSF2
HSF4	HSF4
HSP90AA1	HSP90AA1
HSP90AB1	HSP90AB1
HSP90B1	HSP90B1
HSPA12A	HSPA12A
HSPA12B	HSPA12B
HSPA14	HSPA14
HSPA1A	HSPA1A
HSPA1B	HSPA1B
HSPA1L	HSPA1L
HSPA2	HSPA2
HSPA4	HSPA4
HSPA4L	HSPA4L
HSPA5	HSPA5
HSPA6	HSPA6
HSPA8	HSPA8
HSPA9	HSPA9
HSPB1	HSPB1
HSPB2	HSPB2
HSPB3	HSPB3
HSPB6	HSPB6
HSPB7	HSPB7
HSPB8	HSPB8
HSPD1	HSPD1
HSPE1	HSPE1
HSPG2	HSPG2
HSPH1	HSPH1
HTATIP2	HTATIP2
HTR7	HTR7
HTRA2	HTRA2
HTRA4	HTRA4
HTT	HTT
HUS1	HUS1
HUWE1	HUWE1
HYAL4	HYAL4
HYDIN	HYDIN
IARS	IARS
ICAM1	ICAM1
ID1	ID1
ID2	ID2
ID3	ID3
ID4	ID4
IDH1	IDH1
IDH2	IDH2
IDH3A	IDH3A
IDH3B	IDH3B
IDH3G	IDH3G
IDO1	IDO1
IER3	IER3
IFI16	IFI16
IFI27	IFI27
IFI30	IFI30
IFI35	IFI35
IFI44	IFI44
IFI44L	IFI44L
IFI6	IFI6
IFIH1	IFIH1
IFIT1	IFIT1
IFIT2	IFIT2
IFIT3	IFIT3
IFITM1	IFITM1
IFITM2	IFITM2
IFITM3	IFITM3
IFNA2	IFNA2
IFNA5	IFNA5
IFNAR1	IFNAR1
IFNAR2	IFNAR2
IFNB1	IFNB1
IFNE	IFNE
IFNG	IFNG
IFNGR1	IFNGR1
IFNGR2	IFNGR2
IFNK	IFNK
IFNW1	IFNW1
IFRD1	IFRD1
IFRD2	IFRD2
IFT52	IFT52
IGF1	IGF1
IGF1R	IGF1R
IGF2	IGF2
IGF2R	IGF2R
IGFBP1	IGFBP1
IGFBP3	IGFBP3
IGFBP4	IGFBP4
IGFBP5	IGFBP5
IGFBP6	IGFBP6
IGFBP7	IGFBP7
IGFL2	IGFL2
IGLON5	IGLON5
IGSF5	IGSF5
IGSF8	IGSF8
IHH	IHH
IKBKAP	IKBKAP
IKBKB	IKBKB
IKBKG	IKBKG
IL10	IL10
IL10RA	IL10RA
IL10RB	IL10RB
IL11	IL11
IL11RA	IL11RA
IL12A	IL12A
IL12B	IL12B
IL13	IL13
IL13RA1	IL13RA1
IL15	IL15
IL16	IL16
IL17C	IL17C
IL17F	IL17F
IL17RD	IL17RD
IL18	IL18
IL1A	IL1A
IL1B	IL1B
IL1R1	IL1R1
IL1R2	IL1R2
IL1RAP	IL1RAP
IL1RN	IL1RN
IL2	IL2
IL20	IL20
IL20RA	IL20RA
IL20RB	IL20RB
IL21	IL21
IL21R	IL21R
IL22RA1	IL22RA1
IL22RA2	IL22RA2
IL23A	IL23A
IL23R	IL23R
IL24	IL24
IL27	IL27
IL2RA	IL2RA
IL2RB	IL2RB
IL2RG	IL2RG
IL3	IL3
IL31RA	IL31RA
IL33	IL33
IL3RA	IL3RA
IL4	IL4
IL4R	IL4R
IL5	IL5
IL5RA	IL5RA
IL6	IL6
IL6R	IL6R
IL6ST	IL6ST
IL7	IL7
IL7R	IL7R
IL9	IL9
IL9R	IL9R
ILK	ILK
ILKAP	ILKAP
IMMP1L	IMMP1L
IMMP2L	IMMP2L
ING1	ING1
ING2	ING2
ING3	ING3
ING4	ING4
ING5	ING5
INHA	INHA
INHBA	INHBA
INHBB	INHBB
INHBE	INHBE
INMT	INMT
INO80	INO80
INO80B	INO80B
INO80C	INO80C
INO80D	INO80D
INPP5D	INPP5D
INSIG2	INSIG2
INSL3	INSL3
INSR	INSR
INSRR	INSRR
IQSEC1	IQSEC1
IRAK1	IRAK1
IRAK2	IRAK2
IRAK4	IRAK4
IRF1	IRF1
IRF2	IRF2
IRF2BP1	IRF2BP1
IRF3	IRF3
IRF4	IRF4
IRF5	IRF5
IRF6	IRF6
IRF7	IRF7
IRF8	IRF8
IRF9	IRF9
IRGM	IRGM
IRS1	IRS1
IRS2	IRS2
IRS4	IRS4
IRX3	IRX3
IRX4	IRX4
ISG15	ISG15
ISL1	ISL1
ISL2	ISL2
ITGA1	ITGA1
ITGA2	ITGA2
ITGA3	ITGA3
ITGA4	ITGA4
ITGA5	ITGA5
ITGA6	ITGA6
ITGA7	ITGA7
ITGA8	ITGA8
ITGA9	ITGA9
ITGAL	ITGAL
ITGAM	ITGAM
ITGAV	ITGAV
ITGB1	ITGB1
ITGB2	ITGB2
ITGB3	ITGB3
ITGB4	ITGB4
ITGB5	ITGB5
ITGB8	ITGB8
ITK	ITK
IVD	IVD
JAG1	JAG1
JAG2	JAG2
JAK1	JAK1
JAK2	JAK2
JAK3	JAK3
JARID2	JARID2
JMJD6	JMJD6
JUN	JUN
JUNB	JUNB
JUND	JUND
KAL1	KAL1
KALRN	KALRN
KANK4	KANK4
KAT2A	KAT2A
KAT2B	KAT2B
KAT5	KAT5
KCNA1	KCNA1
KCNA2	KCNA2
KCNA5	KCNA5
KCNH2	KCNH2
KCNIP4	KCNIP4
KCNK13	KCNK13
KCNK5	KCNK5
KCNMA1	KCNMA1
KCNMB3	KCNMB3
KCNT2	KCNT2
KCTD11	KCTD11
KDELC2	KDELC2
KDM1A	KDM1A
KDM2B	KDM2B
KDM4A	KDM4A
KDM4C	KDM4C
KDM5B	KDM5B
KDM5C	KDM5C
KDM5D	KDM5D
KDM6B	KDM6B
KDR	KDR
KIAA0040	KIAA0040
KIAA1045	KIAA1045
KIAA1107	KIAA1107
KIAA1462	KIAA1462
KIF4A	KIF4A
KIFAP3	KIFAP3
KIFC3	KIFC3
KISS1R	KISS1R
KIT	KIT
KITLG	KITLG
KLF10	KLF10
KLF2	KLF2
KLF4	KLF4
KLF5	KLF5
KLHDC8A	KLHDC8A
KLHL24	KLHL24
KLK2	KLK2
KLK4	KLK4
KLKB1	KLKB1
KMO	KMO
KNG1	KNG1
KNTC1	KNTC1
KPNA2	KPNA2
KRAS	KRAS
KREMEN1	KREMEN1
KRT1	KRT1
KRT10	KRT10
KRT14	KRT14
KRT15	KRT15
KRT18	KRT18
KRT19	KRT19
KRT8	KRT8
KSR1	KSR1
KYNU	KYNU
L1CAM	L1CAM
L3MBTL2	L3MBTL2
LAMA1	LAMA1
LAMA2	LAMA2
LAMA3	LAMA3
LAMB1	LAMB1
LAMB2	LAMB2
LAMB3	LAMB3
LAMC1	LAMC1
LAP3	LAP3
LARP7	LARP7
LARS	LARS
LATS1	LATS1
LATS2	LATS2
LBX1	LBX1
LBX2	LBX2
LCK	LCK
LCP1	LCP1
LDHA	LDHA
LDLR	LDLR
LEF1	LEF1
LEFTY1	LEFTY1
LEFTY2	LEFTY2
LEP	LEP
LEPR	LEPR
LFNG	LFNG
LGALS1	LGALS1
LGALS3	LGALS3
LGALS3BP	LGALS3BP
LGR4	LGR4
LHCGR	LHCGR
LHFP	LHFP
LHPP	LHPP
LHX1	LHX1
LHX9	LHX9
LIF	LIF
LIFR	LIFR
LIMD1	LIMD1
LIMK1	LIMK1
LIN28A	LIN28A
LIN28B	LIN28B
LIPE	LIPE
LIX1L	LIX1L
LLGL1	LLGL1
LLGL2	LLGL2
LMNA	LMNA
LMNB1	LMNB1
LMNB2	LMNB2
LMO2	LMO2
LMO7	LMO7
LMX1A	LMX1A
LMX1B	LMX1B
LOR	LOR
LOX	LOX
LPAR1	LPAR1
LPAR2	LPAR2
LPHN3	LPHN3
LPIN1	LPIN1
LPL	LPL
LPO	LPO
LPP	LPP
LRAT	LRAT
LRG1	LRG1
LRIG1	LRIG1
LRP1	LRP1
LRP10	LRP10
LRP2	LRP2
LRP5	LRP5
LRP5L	LRP5L
LRP6	LRP6
LRPPRC	LRPPRC
LRRC36	LRRC36
LRRC55	LRRC55
LRRC8B	LRRC8B
LRRFIP2	LRRFIP2
LRRN1	LRRN1
LSAMP	LSAMP
LTA	LTA
LTA4H	LTA4H
LTB	LTB
LTBP1	LTBP1
LTBP2	LTBP2
LTBP3	LTBP3
LTBP4	LTBP4
LTBR	LTBR
LTK	LTK
LY86	LY86
LY96	LY96
LYN	LYN
LYZ	LYZ
LZTS2	LZTS2
MAD2L1	MAD2L1
MAD2L2	MAD2L2
MADD	MADD
MAEL	MAEL
MAF	MAF
MAFB	MAFB
MAFF	MAFF
MAGEB1	MAGEB1
MAGEL2	MAGEL2
MALT1	MALT1
MAML1	MAML1
MAML2	MAML2
MAN1A1	MAN1A1
MAN1A2	MAN1A2
MAN1B1	MAN1B1
MAN1C1	MAN1C1
MAN2A1	MAN2A1
MAN2A2	MAN2A2
MAN2B1	MAN2B1
MANBA	MANBA
MANF	MANF
MAOA	MAOA
MAOB	MAOB
MAP2K1	MAP2K1
MAP2K2	MAP2K2
MAP2K3	MAP2K3
MAP2K4	MAP2K4
MAP2K5	MAP2K5
MAP2K6	MAP2K6
MAP2K7	MAP2K7
MAP3K1	MAP3K1
MAP3K12	MAP3K12
MAP3K2	MAP3K2
MAP3K3	MAP3K3
MAP3K4	MAP3K4
MAP3K5	MAP3K5
MAP3K7	MAP3K7
MAP4K1	MAP4K1
MAP4K4	MAP4K4
MAP7	MAP7
MAP7D1	MAP7D1
MAPK1	MAPK1
MAPK10	MAPK10
MAPK11	MAPK11
MAPK12	MAPK12
MAPK13	MAPK13
MAPK14	MAPK14
MAPK3	MAPK3
MAPK6	MAPK6
MAPK7	MAPK7
MAPK8	MAPK8
MAPK8IP2	MAPK8IP2
MAPK8IP3	MAPK8IP3
MAPK9	MAPK9
MAPKAP1	MAPKAP1
MAPKAPK2	MAPKAPK2
MAPKAPK3	MAPKAPK3
MARK1	MARK1
MAT1A	MAT1A
MAT2A	MAT2A
MATK	MATK
MAX	MAX
MAZ	MAZ
MB	MB
MBD1	MBD1
MBD2	MBD2
MBD3	MBD3
MBD4	MBD4
MBL2	MBL2
MBTD1	MBTD1
MBTPS1	MBTPS1
MBTPS2	MBTPS2
MCAM	MCAM
MCCC2	MCCC2
MCEE	MCEE
MCL1	MCL1
MCM2	MCM2
MCM3	MCM3
MCM4	MCM4
MCM5	MCM5
MDH1	MDH1
MDH1B	MDH1B
MDH2	MDH2
MDK	MDK
MDM2	MDM2
ME3	ME3
MECP2	MECP2
MED1	MED1
MED16	MED16
MEF2C	MEF2C
MEFV	MEFV
MEIS1	MEIS1
MEIS2	MEIS2
MEIS3	MEIS3
MEN1	MEN1
MEOX1	MEOX1
MERTK	MERTK
MESP1	MESP1
MET	MET
METAP2	METAP2
MEX3C	MEX3C
MFN1	MFN1
MFN2	MFN2
MFNG	MFNG
MFSD10	MFSD10
MGAT1	MGAT1
MGAT2	MGAT2
MGAT3	MGAT3
MGAT4A	MGAT4A
MGAT4B	MGAT4B
MGAT4C	MGAT4C
MGAT5	MGAT5
MGAT5B	MGAT5B
MGLL	MGLL
MGMT	MGMT
MGST1	MGST1
MGST3	MGST3
MIB1	MIB1
MID1	MID1
MID2	MID2
MIF	MIF
MINK1	MINK1
MINPP1	MINPP1
MIOX	MIOX
MIPEP	MIPEP
MIXL1	MIXL1
MKI67	MKI67
MKNK1	MKNK1
MKNK2	MKNK2
MKX	MKX
MLH1	MLH1
MLST8	MLST8
MLYCD	MLYCD
MME	MME
MMP1	MMP1
MMP10	MMP10
MMP11	MMP11
MMP12	MMP12
MMP13	MMP13
MMP14	MMP14
MMP15	MMP15
MMP16	MMP16
MMP2	MMP2
MMP9	MMP9
MN1	MN1
MNAT1	MNAT1
MOCS3	MOCS3
MOGS	MOGS
MORC3	MORC3
MOS	MOS
MOV10	MOV10
MPDZ	MPDZ
MPL	MPL
MPO	MPO
MPP5	MPP5
MPST	MPST
MPV17	MPV17
MRE11A	MRE11A
MRPL55	MRPL55
MSC	MSC
MSH2	MSH2
MSI1	MSI1
MSLN	MSLN
MSN	MSN
MSRA	MSRA
MSRB2	MSRB2
MST1	MST1
MST1R	MST1R
MSTO1	MSTO1
MSX1	MSX1
MSX2	MSX2
MT1A	MT1A
MT2A	MT2A
MT3	MT3
MTA1	MTA1
MTA2	MTA2
MTAP	MTAP
MTCP1	MTCP1
MTF2	MTF2
MTHFD1	MTHFD1
MTNR1A	MTNR1A
MTNR1B	MTNR1B
MTOR	MTOR
MTR	MTR
MTSS1	MTSS1
MTX2	MTX2
MUL1	MUL1
MUM1	MUM1
MUSK	MUSK
MUT	MUT
MX1	MX1
MXI1	MXI1
MYB	MYB
MYBL2	MYBL2
MYC	MYC
MYCN	MYCN
MYD88	MYD88
MYEF2	MYEF2
MYF5	MYF5
MYH1	MYH1
MYH10	MYH10
MYH11	MYH11
MYH7	MYH7
MYH9	MYH9
MYL3	MYL3
MYL9	MYL9
MYLK	MYLK
MYO16	MYO16
MYO1C	MYO1C
MYO5B	MYO5B
MYOD1	MYOD1
MYOF	MYOF
MYSM1	MYSM1
Mar-05	Mar-05
NAALAD2	NAALAD2
NAB1	NAB1
NAB2	NAB2
NADSYN1	NADSYN1
NAE1	NAE1
NAGPA	NAGPA
NAGS	NAGS
NAIP	NAIP
NAMPT	NAMPT
NANOG	NANOG
NAP1L1	NAP1L1
NAPSA	NAPSA
NAV2	NAV2
NBN	NBN
NCAM1	NCAM1
NCAM2	NCAM2
NCAPD3	NCAPD3
NCF1	NCF1
NCF2	NCF2
NCK1	NCK1
NCL	NCL
NCOA1	NCOA1
NCOA2	NCOA2
NCOA3	NCOA3
NCOA6	NCOA6
NCOR1	NCOR1
NCOR2	NCOR2
NCS1	NCS1
NCSTN	NCSTN
NDP	NDP
NDRG1	NDRG1
NDUFA1	NDUFA1
NDUFA10	NDUFA10
NDUFA11	NDUFA11
NDUFA2	NDUFA2
NDUFA3	NDUFA3
NDUFA4	NDUFA4
NDUFA5	NDUFA5
NDUFA6	NDUFA6
NDUFA8	NDUFA8
NDUFAB1	NDUFAB1
NDUFB10	NDUFB10
NDUFB2	NDUFB2
NDUFB3	NDUFB3
NDUFB4	NDUFB4
NDUFB5	NDUFB5
NDUFB6	NDUFB6
NDUFB7	NDUFB7
NDUFB8	NDUFB8
NDUFB9	NDUFB9
NDUFC1	NDUFC1
NDUFC2	NDUFC2
NDUFS1	NDUFS1
NDUFS2	NDUFS2
NDUFS3	NDUFS3
NDUFS4	NDUFS4
NDUFS5	NDUFS5
NDUFS6	NDUFS6
NDUFS7	NDUFS7
NDUFS8	NDUFS8
NDUFV1	NDUFV1
NDUFV2	NDUFV2
NDUFV3	NDUFV3
NECAB1	NECAB1
NEDD8	NEDD8
NEDD9	NEDD9
NEFL	NEFL
NEK6	NEK6
NES	NES
NEU1	NEU1
NEU3	NEU3
NEUROD1	NEUROD1
NEUROG2	NEUROG2
NF1	NF1
NF2	NF2
NFAT5	NFAT5
NFATC1	NFATC1
NFATC2	NFATC2
NFATC3	NFATC3
NFATC4	NFATC4
NFIB	NFIB
NFIL3	NFIL3
NFIX	NFIX
NFKB1	NFKB1
NFKB2	NFKB2
NFKBIA	NFKBIA
NFKBIB	NFKBIB
NFKBIE	NFKBIE
NFKBIL1	NFKBIL1
NFRKB	NFRKB
NGFR	NGFR
NID2	NID2
NIT2	NIT2
NKAIN1	NKAIN1
NKD1	NKD1
NKX2-2	NKX2-2
NKX2-5	NKX2-5
NKX3-1	NKX3-1
NLGN4Y	NLGN4Y
NLK	NLK
NLRC4	NLRC4
NLRC5	NLRC5
NLRP1	NLRP1
NLRP12	NLRP12
NLRP3	NLRP3
NLRP4	NLRP4
NLRP5	NLRP5
NLRP9	NLRP9
NLRX1	NLRX1
NME1	NME1
NME4	NME4
NMNAT2	NMNAT2
NMS	NMS
NMU	NMU
NOD1	NOD1
NOD2	NOD2
NODAL	NODAL
NOG	NOG
NOL3	NOL3
NOLC1	NOLC1
NOS2	NOS2
NOS3	NOS3
NOTCH1	NOTCH1
NOTCH2	NOTCH2
NOTCH3	NOTCH3
NOTCH4	NOTCH4
NOV	NOV
NOX4	NOX4
NOX5	NOX5
NPAS2	NPAS2
NPC1	NPC1
NPHP4	NPHP4
NPL	NPL
NPLOC4	NPLOC4
NPM1	NPM1
NPPA	NPPA
NPTX1	NPTX1
NPY	NPY
NQO1	NQO1
NR0B1	NR0B1
NR0B2	NR0B2
NR1D1	NR1D1
NR1D2	NR1D2
NR1H3	NR1H3
NR2C2	NR2C2
NR2F2	NR2F2
NR2F6	NR2F6
NR3C1	NR3C1
NR4A2	NR4A2
NR4A3	NR4A3
NR5A2	NR5A2
NR6A1	NR6A1
NRARP	NRARP
NRAS	NRAS
NRCAM	NRCAM
NRG1	NRG1
NRG2	NRG2
NRG3	NRG3
NRGN	NRGN
NRIP1	NRIP1
NRP1	NRP1
NRP2	NRP2
NRTN	NRTN
NRXN2	NRXN2
NSD1	NSD1
NSUN3	NSUN3
NT5E	NT5E
NTF3	NTF3
NTRK1	NTRK1
NTRK2	NTRK2
NTRK3	NTRK3
NUB1	NUB1
NUCB1	NUCB1
NUDT1	NUDT1
NUMB	NUMB
OAS1	OAS1
OAT	OAT
OAZ3	OAZ3
OBSCN	OBSCN
OBSL1	OBSL1
ODC1	ODC1
OGDH	OGDH
OGDHL	OGDHL
OGT	OGT
OLFML3	OLFML3
OLIG2	OLIG2
OLR1	OLR1
OPA1	OPA1
OPCML	OPCML
OPN3	OPN3
OPN4	OPN4
OPRD1	OPRD1
OPRK1	OPRK1
OPTN	OPTN
OR3A2	OR3A2
OR52E4	OR52E4
ORM1	ORM1
ORM2	ORM2
OS9	OS9
OSGIN1	OSGIN1
OSM	OSM
OTC	OTC
OTP	OTP
OTX1	OTX1
OTX2	OTX2
OXCT2	OXCT2
OXR1	OXR1
OXSR1	OXSR1
P2RX7	P2RX7
P4HA1	P4HA1
P4HB	P4HB
PA2G4	PA2G4
PABPC1	PABPC1
PABPC5	PABPC5
PAF1	PAF1
PAH	PAH
PAICS	PAICS
PAK1	PAK1
PAK1IP1	PAK1IP1
PAK2	PAK2
PAK4	PAK4
PANK1	PANK1
PANX1	PANX1
PAPSS2	PAPSS2
PAQR7	PAQR7
PARD3	PARD3
PARD6A	PARD6A
PARD6G	PARD6G
PARK2	PARK2
PARP1	PARP1
PARVA	PARVA
PAX3	PAX3
PAX4	PAX4
PAX5	PAX5
PAX6	PAX6
PAX8	PAX8
PAX9	PAX9
PBRM1	PBRM1
PBX1	PBX1
PC	PC
PCCA	PCCA
PCDH11X	PCDH11X
PCDH19	PCDH19
PCDH8	PCDH8
PCDHB2	PCDHB2
PCDHGA11	PCDHGA11
PCGF1	PCGF1
PCGF2	PCGF2
PCGF3	PCGF3
PCGF5	PCGF5
PCGF6	PCGF6
PCK1	PCK1
PCK2	PCK2
PCLO	PCLO
PCNA	PCNA
PCP4L1	PCP4L1
PDE4B	PDE4B
PDE9A	PDE9A
PDGFA	PDGFA
PDGFB	PDGFB
PDGFC	PDGFC
PDGFRA	PDGFRA
PDGFRB	PDGFRB
PDHA1	PDHA1
PDHA2	PDHA2
PDHB	PDHB
PDHX	PDHX
PDIA3	PDIA3
PDK1	PDK1
PDK2	PDK2
PDK3	PDK3
PDK4	PDK4
PDLIM1	PDLIM1
PDP1	PDP1
PDP2	PDP2
PDPK1	PDPK1
PDPR	PDPR
PDX1	PDX1
PDZD7	PDZD7
PDZK1	PDZK1
PEA15	PEA15
PECAM1	PECAM1
PECR	PECR
PEG10	PEG10
PEG3	PEG3
PELI1	PELI1
PELI2	PELI2
PELP1	PELP1
PENK	PENK
PER1	PER1
PER2	PER2
PER3	PER3
PERP	PERP
PEX12	PEX12
PF4	PF4
PFDN1	PFDN1
PFDN2	PFDN2
PFDN5	PFDN5
PFKFB1	PFKFB1
PFKFB2	PFKFB2
PFKFB3	PFKFB3
PFKFB4	PFKFB4
PFKL	PFKL
PFKP	PFKP
PFN1	PFN1
PGAM1	PGAM1
PGAM2	PGAM2
PGF	PGF
PGK1	PGK1
PGK2	PGK2
PGLS	PGLS
PGLYRP1	PGLYRP1
PGM1	PGM1
PGM2	PGM2
PGM3	PGM3
PGR	PGR
PGRMC1	PGRMC1
PHB	PHB
PHB2	PHB2
PHC1	PHC1
PHC2	PHC2
PHC3	PHC3
PHF1	PHF1
PHF13	PHF13
PHF19	PHF19
PHF2	PHF2
PHF21A	PHF21A
PHF21B	PHF21B
PHF3	PHF3
PHF5A	PHF5A
PHF6	PHF6
PHF7	PHF7
PHGDH	PHGDH
PHKA1	PHKA1
PHKB	PHKB
PHKG1	PHKG1
PHKG2	PHKG2
PHLPP1	PHLPP1
PHOX2B	PHOX2B
PIAS1	PIAS1
PIAS2	PIAS2
PIAS3	PIAS3
PIK3AP1	PIK3AP1
PIK3C2A	PIK3C2A
PIK3C3	PIK3C3
PIK3CA	PIK3CA
PIK3CB	PIK3CB
PIK3CD	PIK3CD
PIK3CG	PIK3CG
PIK3R1	PIK3R1
PIK3R2	PIK3R2
PIK3R3	PIK3R3
PIM1	PIM1
PIPOX	PIPOX
PITX1	PITX1
PITX2	PITX2
PITX3	PITX3
PIWIL1	PIWIL1
PIWIL2	PIWIL2
PKD1L1	PKD1L1
PKLR	PKLR
PLA2G16	PLA2G16
PLAT	PLAT
PLAU	PLAU
PLAUR	PLAUR
PLCE1	PLCE1
PLCG1	PLCG1
PLCH1	PLCH1
PLCL2	PLCL2
PLCXD2	PLCXD2
PLD1	PLD1
PLD2	PLD2
PLEKHA7	PLEKHA7
PLEKHB1	PLEKHB1
PLEKHG4B	PLEKHG4B
PLG	PLG
PLN	PLN
PLOD3	PLOD3
PLSCR1	PLSCR1
PLTP	PLTP
PMAIP1	PMAIP1
PMEPA1	PMEPA1
PML	PML
PMP22	PMP22
PNKP	PNKP
PNMT	PNMT
PNN	PNN
PNPLA2	PNPLA2
PODXL	PODXL
POFUT1	POFUT1
POFUT2	POFUT2
POLD2	POLD2
POLR2E	POLR2E
POMGNT1	POMGNT1
POMT1	POMT1
POMT2	POMT2
PON3	PON3
POP1	POP1
PORCN	PORCN
POSTN	POSTN
POTEF	POTEF
POU1F1	POU1F1
POU2AF1	POU2AF1
POU2F1	POU2F1
POU4F1	POU4F1
POU4F2	POU4F2
POU5F1	POU5F1
PPA1	PPA1
PPAP2A	PPAP2A
